Nr. do Pedido;Status;Data do Pedido;Valor do Pedido(R$);Data de Pagto;Valor de Pagto(R$);Meio de Pagto;Atual Registro;Cod. Operacao
23907;Boleto - Gerado (10/13);18/07/2017 10:20;50;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
23909;Boleto - Gerado (10/13);18/07/2017 11:19;38;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
23413;Boleto - Gerado (10/13);18/07/2017 11:33;50;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
23911;Boleto - Gerado (10/13);18/07/2017 12:10;32;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
23912;Boleto - Gerado (10/13);18/07/2017 12:23;50;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
23913;Boleto - Pago Igual (21);18/07/2017 12:28;32;20/07/2017 00:00;32.00;BOLETO SEM RETORNO;20/07/2017 02:33;0 - Operação finalizada com sucesso
23914;Boleto - Gerado (10/13);18/07/2017 12:28;38;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
23915;Boleto - Gerado (10/13);18/07/2017 12:45;32;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
23916;Boleto - Pago Igual (21);18/07/2017 12:47;22;20/07/2017 00:00;22.00;BOLETO SEM RETORNO;20/07/2017 02:33;0 - Operação finalizada com sucesso
23917;Boleto - Pago Igual (21);18/07/2017 12:52;50;19/07/2017 00:00;50.00;BOLETO SEM RETORNO;19/07/2017 02:12;0 - Operação finalizada com sucesso
23918;Boleto - Pago Igual (21);18/07/2017 12:53;32;20/07/2017 00:00;32.00;BOLETO SEM RETORNO;20/07/2017 02:33;0 - Operação finalizada com sucesso
23421;Boleto - Pago Igual (21);18/07/2017 12:54;50;19/07/2017 00:00;50.00;BOLETO SEM RETORNO;19/07/2017 02:12;0 - Operação finalizada com sucesso
23919;Boleto - Gerado (10/13);18/07/2017 12:56;32;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
23920;Boleto - Pago Igual (21);18/07/2017 13:03;50;20/07/2017 00:00;50.00;BOLETO SEM RETORNO;20/07/2017 02:33;0 - Operação finalizada com sucesso
23921;Boleto - Gerado (10/13);18/07/2017 13:25;50;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
23924;Boleto - Gerado (10/13);18/07/2017 14:02;22;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
23923;Boleto - Gerado (10/13);18/07/2017 14:05;32;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
23925;Boleto - Pago Igual (21);18/07/2017 14:10;38;19/07/2017 00:00;38.00;BOLETO SEM RETORNO;19/07/2017 02:12;0 - Operação finalizada com sucesso
23926;Boleto - Pago Igual (21);18/07/2017 14:17;50;20/07/2017 00:00;50.00;BOLETO SEM RETORNO;20/07/2017 02:33;0 - Operação finalizada com sucesso
23927;Boleto - Pago Igual (21);18/07/2017 14:23;50;21/07/2017 00:00;50.00;BOLETO SEM RETORNO;21/07/2017 08:13;0 - Operação finalizada com sucesso
23833;Boleto - Pago Igual (21);18/07/2017 14:28;50;19/07/2017 00:00;50.00;BOLETO SEM RETORNO;19/07/2017 02:12;0 - Operação finalizada com sucesso
23928;Boleto - Gerado (10/13);18/07/2017 14:36;30;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
23930;Boleto - Gerado (10/13);18/07/2017 15:00;30;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
23931;Boleto - Gerado (10/13);18/07/2017 15:06;50;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
23932;Boleto - Gerado (10/13);18/07/2017 15:13;50;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
23933;Boleto - Gerado (10/13);18/07/2017 15:19;32;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
23934;Boleto - Pago Igual (21);18/07/2017 15:22;38;20/07/2017 00:00;38.00;BOLETO SEM RETORNO;20/07/2017 02:33;0 - Operação finalizada com sucesso
23935;Boleto - Gerado (10/13);18/07/2017 15:25;38;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
23936;Boleto - Gerado (10/13);18/07/2017 15:48;32;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
23937;Boleto - Pago Igual (21);18/07/2017 15:53;22;19/07/2017 00:00;22.00;BOLETO SEM RETORNO;19/07/2017 02:12;0 - Operação finalizada com sucesso
23929;Boleto - Pago Igual (21);18/07/2017 16:13;50;20/07/2017 00:00;50.00;BOLETO SEM RETORNO;20/07/2017 02:33;0 - Operação finalizada com sucesso
23938;Boleto - Pago Igual (21);18/07/2017 16:38;50;20/07/2017 00:00;50.00;BOLETO SEM RETORNO;20/07/2017 02:33;0 - Operação finalizada com sucesso
23939;Boleto - Pago Igual (21);18/07/2017 16:53;22;20/07/2017 00:00;22.00;BOLETO SEM RETORNO;20/07/2017 02:33;0 - Operação finalizada com sucesso
23391;Boleto - Pago Igual (21);18/07/2017 16:57;32;19/07/2017 00:00;32.00;BOLETO SEM RETORNO;19/07/2017 02:12;0 - Operação finalizada com sucesso
23941;Boleto - Pago Igual (21);18/07/2017 17:32;50;20/07/2017 00:00;50.00;BOLETO SEM RETORNO;20/07/2017 02:33;0 - Operação finalizada com sucesso
23943;Boleto - Gerado (10/13);18/07/2017 17:38;32;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
23944;Boleto - Gerado (10/13);18/07/2017 17:45;38;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
23643;Boleto - Pago Igual (21);18/07/2017 17:46;50;21/07/2017 00:00;50.00;BOLETO SEM RETORNO;21/07/2017 08:13;0 - Operação finalizada com sucesso
23757;Boleto - Gerado (10/13);18/07/2017 18:04;30;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
23945;Boleto - Pago Igual (21);18/07/2017 18:45;32;20/07/2017 00:00;32.00;BOLETO SEM RETORNO;20/07/2017 02:33;0 - Operação finalizada com sucesso
23946;Boleto - Gerado (10/13);18/07/2017 18:46;32;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
23948;Boleto - Pago Igual (21);18/07/2017 18:59;38;20/07/2017 00:00;38.00;BOLETO SEM RETORNO;20/07/2017 02:33;0 - Operação finalizada com sucesso
23950;Boleto - Pago Igual (21);18/07/2017 19:20;38;20/07/2017 00:00;38.00;BOLETO SEM RETORNO;20/07/2017 02:33;0 - Operação finalizada com sucesso
23951;Boleto - Gerado (10/13);18/07/2017 19:25;32;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
23952;Boleto - Gerado (10/13);18/07/2017 19:27;32;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
23953;Boleto - Gerado (10/13);18/07/2017 19:37;22;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
23955;Boleto - Pago Igual (21);18/07/2017 19:51;50;20/07/2017 00:00;50.00;BOLETO SEM RETORNO;20/07/2017 02:33;0 - Operação finalizada com sucesso
23956;Boleto - Gerado (10/13);18/07/2017 20:17;32;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
23957;Boleto - Gerado (10/13);18/07/2017 20:19;38;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
23958;Boleto - Pago Igual (21);18/07/2017 20:20;30;21/07/2017 00:00;30.00;BOLETO SEM RETORNO;21/07/2017 08:13;0 - Operação finalizada com sucesso
23960;Boleto - Gerado (10/13);18/07/2017 20:23;38;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
23954;Boleto - Pago Igual (21);18/07/2017 20:39;32;20/07/2017 00:00;32.00;BOLETO SEM RETORNO;20/07/2017 02:33;0 - Operação finalizada com sucesso
23961;Boleto - Gerado (10/13);18/07/2017 20:41;50;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
23962;Boleto - Gerado (10/13);18/07/2017 20:43;32;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
23965;Boleto - Gerado (10/13);18/07/2017 21:21;50;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
23966;Boleto - Gerado (10/13);18/07/2017 21:25;32;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
23967;Boleto - Pago Igual (21);18/07/2017 22:04;22;21/07/2017 00:00;22.00;BOLETO SEM RETORNO;21/07/2017 08:13;0 - Operação finalizada com sucesso
23969;Boleto - Gerado (10/13);18/07/2017 22:25;30;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
23239;Boleto - Gerado (10/13);18/07/2017 22:41;22;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
23970;Boleto - Gerado (10/13);18/07/2017 22:53;32;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
23973;Boleto - Gerado (10/13);19/07/2017 07:54;22;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
23974;Boleto - Pago Igual (21);19/07/2017 08:15;38;20/07/2017 00:00;38.00;BOLETO SEM RETORNO;20/07/2017 02:33;0 - Operação finalizada com sucesso
23975;Boleto - Gerado (10/13);19/07/2017 08:34;38;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
23976;Boleto - Pago Igual (21);19/07/2017 08:39;38;21/07/2017 00:00;38.00;BOLETO SEM RETORNO;21/07/2017 08:13;0 - Operação finalizada com sucesso
23979;Boleto - Gerado (10/13);19/07/2017 08:58;38;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
23978;Boleto - Pago Igual (21);19/07/2017 08:58;50;20/07/2017 00:00;50.00;BOLETO SEM RETORNO;20/07/2017 02:33;0 - Operação finalizada com sucesso
23981;Boleto - Gerado (10/13);19/07/2017 10:08;32;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
23982;Boleto - Gerado (10/13);19/07/2017 10:15;38;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
23983;Boleto - Gerado (10/13);19/07/2017 10:20;50;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
23856;Boleto - Gerado (10/13);19/07/2017 10:20;50;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
23129;Boleto - Gerado (10/13);19/07/2017 10:26;22;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
23980;Boleto - Gerado (10/13);19/07/2017 10:28;32;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
23709;Boleto - Pago Igual (21);19/07/2017 10:34;32;20/07/2017 00:00;32.00;BOLETO SEM RETORNO;20/07/2017 02:33;0 - Operação finalizada com sucesso
23984;Boleto - Pago a Maior (23);19/07/2017 10:35;50;20/07/2017 00:00;51.23;BOLETO SEM RETORNO;20/07/2017 02:33;0 - Operação finalizada com sucesso
23987;Boleto - Gerado (10/13);19/07/2017 11:18;22;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
23988;Boleto - Pago Igual (21);19/07/2017 11:21;50;21/07/2017 00:00;50.00;BOLETO SEM RETORNO;21/07/2017 08:13;0 - Operação finalizada com sucesso
23989;Boleto - Gerado (10/13);19/07/2017 11:26;50;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
23990;Boleto - Gerado (10/13);19/07/2017 11:27;22;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
23991;Boleto - Pago Igual (21);19/07/2017 11:30;32;20/07/2017 00:00;32.00;BOLETO SEM RETORNO;20/07/2017 02:33;0 - Operação finalizada com sucesso
23992;Boleto - Gerado (10/13);19/07/2017 11:35;38;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
23963;Boleto - Pago Igual (21);19/07/2017 11:41;38;20/07/2017 00:00;38.00;BOLETO SEM RETORNO;20/07/2017 02:33;0 - Operação finalizada com sucesso
23993;Boleto - Gerado (10/13);19/07/2017 11:53;32;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
23157;Boleto - Pago Igual (21);19/07/2017 11:59;32;20/07/2017 00:00;32.00;BOLETO SEM RETORNO;20/07/2017 02:33;0 - Operação finalizada com sucesso
23996;Boleto - Pago Igual (21);19/07/2017 12:11;38;20/07/2017 00:00;38.00;BOLETO SEM RETORNO;20/07/2017 02:33;0 - Operação finalizada com sucesso
23634;Boleto - Pago Igual (21);19/07/2017 12:15;38;20/07/2017 00:00;38.00;BOLETO SEM RETORNO;20/07/2017 02:33;0 - Operação finalizada com sucesso
23997;Boleto - Gerado (10/13);19/07/2017 12:24;32;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
24000;Boleto - Gerado (10/13);19/07/2017 12:36;50;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
24001;Boleto - Gerado (10/13);19/07/2017 12:42;50;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
23320;Boleto - Pago Igual (21);19/07/2017 12:47;32;20/07/2017 00:00;32.00;BOLETO SEM RETORNO;20/07/2017 02:33;0 - Operação finalizada com sucesso
23251;Boleto - Pago Igual (21);19/07/2017 12:47;32;20/07/2017 00:00;32.00;BOLETO SEM RETORNO;20/07/2017 02:33;0 - Operação finalizada com sucesso
24002;Boleto - Pago Igual (21);19/07/2017 12:51;38;20/07/2017 00:00;38.00;BOLETO SEM RETORNO;20/07/2017 02:33;0 - Operação finalizada com sucesso
23862;Boleto - Pago Igual (21);19/07/2017 13:21;38;21/07/2017 00:00;38.00;BOLETO SEM RETORNO;21/07/2017 08:13;0 - Operação finalizada com sucesso
24003;Boleto - Gerado (10/13);19/07/2017 13:22;38;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
24005;Boleto - Pago Igual (21);19/07/2017 13:32;50;21/07/2017 00:00;50.00;BOLETO SEM RETORNO;21/07/2017 08:13;0 - Operação finalizada com sucesso
24006;Boleto - Pago Igual (21);19/07/2017 13:38;32;21/07/2017 00:00;32.00;BOLETO SEM RETORNO;21/07/2017 08:13;0 - Operação finalizada com sucesso
24007;Boleto - Gerado (10/13);19/07/2017 13:43;50;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
24008;Boleto - Gerado (10/13);19/07/2017 13:44;38;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
23986;Boleto - Pago Igual (21);19/07/2017 13:54;32;20/07/2017 00:00;32.00;BOLETO SEM RETORNO;20/07/2017 02:33;0 - Operação finalizada com sucesso
24009;Boleto - Gerado (10/13);19/07/2017 14:19;32;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
23505;Boleto - Pago Igual (21);19/07/2017 14:22;50;20/07/2017 00:00;50.00;BOLETO SEM RETORNO;20/07/2017 02:33;0 - Operação finalizada com sucesso
24010;Boleto - Pago Igual (21);19/07/2017 14:26;38;21/07/2017 00:00;38.00;BOLETO SEM RETORNO;21/07/2017 08:13;0 - Operação finalizada com sucesso
23904;Boleto - Pago Igual (21);19/07/2017 14:30;22;20/07/2017 00:00;22.00;BOLETO SEM RETORNO;20/07/2017 02:33;0 - Operação finalizada com sucesso
24011;Boleto - Gerado (10/13);19/07/2017 14:32;50;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
24014;Boleto - Pago Igual (21);19/07/2017 14:47;50;20/07/2017 00:00;50.00;BOLETO SEM RETORNO;20/07/2017 02:33;0 - Operação finalizada com sucesso
23968;Boleto - Pago Igual (21);19/07/2017 14:49;50;21/07/2017 00:00;50.00;BOLETO SEM RETORNO;21/07/2017 08:13;0 - Operação finalizada com sucesso
24016;Boleto - Pago Igual (21);19/07/2017 14:51;50;20/07/2017 00:00;50.00;BOLETO SEM RETORNO;20/07/2017 02:33;0 - Operação finalizada com sucesso
23596;Boleto - Pago Igual (21);19/07/2017 14:58;50;20/07/2017 00:00;50.00;BOLETO SEM RETORNO;20/07/2017 02:33;0 - Operação finalizada com sucesso
24017;Boleto - Pago Igual (21);19/07/2017 14:59;38;20/07/2017 00:00;38.00;BOLETO SEM RETORNO;20/07/2017 02:33;0 - Operação finalizada com sucesso
24019;Boleto - Pago Igual (21);19/07/2017 15:13;38;20/07/2017 00:00;38.00;BOLETO SEM RETORNO;20/07/2017 02:33;0 - Operação finalizada com sucesso
24018;Boleto - Gerado (10/13);19/07/2017 15:13;30;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
23775;Boleto - Gerado (10/13);19/07/2017 15:18;32;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
24021;Boleto - Pago Igual (21);19/07/2017 15:24;50;20/07/2017 00:00;50.00;BOLETO SEM RETORNO;20/07/2017 02:33;0 - Operação finalizada com sucesso
24022;Boleto - Gerado (10/13);19/07/2017 15:26;38;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
24023;Boleto - Pago Igual (21);19/07/2017 15:31;50;20/07/2017 00:00;50.00;BOLETO SEM RETORNO;20/07/2017 02:33;0 - Operação finalizada com sucesso
24020;Boleto - Pago Igual (21);19/07/2017 15:34;38;20/07/2017 00:00;38.00;BOLETO SEM RETORNO;20/07/2017 02:33;0 - Operação finalizada com sucesso
24004;Boleto - Gerado (10/13);19/07/2017 15:42;22;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
23999;Boleto - Pago Igual (21);19/07/2017 15:46;50;20/07/2017 00:00;50.00;BOLETO SEM RETORNO;20/07/2017 02:33;0 - Operação finalizada com sucesso
23838;Boleto - Pago Igual (21);19/07/2017 15:49;50;20/07/2017 00:00;50.00;BOLETO SEM RETORNO;20/07/2017 02:33;0 - Operação finalizada com sucesso
24013;Boleto - Pago Igual (21);19/07/2017 15:51;50;20/07/2017 00:00;50.00;BOLETO SEM RETORNO;20/07/2017 02:33;0 - Operação finalizada com sucesso
24025;Boleto - Pago Igual (21);19/07/2017 16:05;38;21/07/2017 00:00;38.00;BOLETO SEM RETORNO;21/07/2017 08:13;0 - Operação finalizada com sucesso
24026;Boleto - Pago Igual (21);19/07/2017 16:27;38;20/07/2017 00:00;38.00;BOLETO SEM RETORNO;20/07/2017 02:33;0 - Operação finalizada com sucesso
24028;Boleto - Gerado (10/13);19/07/2017 16:37;50;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
23197;Boleto - Pago Igual (21);19/07/2017 16:43;32;20/07/2017 00:00;32.00;BOLETO SEM RETORNO;20/07/2017 02:33;0 - Operação finalizada com sucesso
23886;Boleto - Gerado (10/13);19/07/2017 16:49;50;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
24029;Boleto - Gerado (10/13);19/07/2017 16:49;50;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
23434;Boleto - Gerado (10/13);19/07/2017 17:21;32;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
24031;Boleto - Gerado (10/13);19/07/2017 17:26;38;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
24033;Boleto - Gerado (10/13);19/07/2017 17:35;50;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
23971;Boleto - Gerado (10/13);19/07/2017 17:50;32;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
24036;Boleto - Pago Igual (21);19/07/2017 18:16;38;21/07/2017 00:00;38.00;BOLETO SEM RETORNO;21/07/2017 08:13;0 - Operação finalizada com sucesso
24038;Boleto - Pago Igual (21);19/07/2017 18:32;50;21/07/2017 00:00;50.00;BOLETO SEM RETORNO;21/07/2017 08:13;0 - Operação finalizada com sucesso
24037;Boleto - Pago Igual (21);19/07/2017 18:32;50;21/07/2017 00:00;50.00;BOLETO SEM RETORNO;21/07/2017 08:13;0 - Operação finalizada com sucesso
24039;Boleto - Gerado (10/13);19/07/2017 18:37;32;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
24040;Boleto - Pago Igual (21);19/07/2017 18:37;50;21/07/2017 00:00;50.00;BOLETO SEM RETORNO;21/07/2017 08:13;0 - Operação finalizada com sucesso
24041;Boleto - Pago Igual (21);19/07/2017 18:38;32;20/07/2017 00:00;32.00;BOLETO SEM RETORNO;20/07/2017 02:33;0 - Operação finalizada com sucesso
23556;Boleto - Pago Igual (21);19/07/2017 18:39;50;21/07/2017 00:00;50.00;BOLETO SEM RETORNO;21/07/2017 08:13;0 - Operação finalizada com sucesso
24030;Boleto - Gerado (10/13);19/07/2017 18:47;22;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
24042;Boleto - Pago Igual (21);19/07/2017 19:20;50;21/07/2017 00:00;50.00;BOLETO SEM RETORNO;21/07/2017 08:13;0 - Operação finalizada com sucesso
24043;Boleto - Gerado (10/13);19/07/2017 19:31;32;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
24044;Boleto - Gerado (10/13);19/07/2017 19:39;32;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
24047;Boleto - Gerado (10/13);19/07/2017 20:10;32;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
24048;Boleto - Gerado (10/13);19/07/2017 20:21;32;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
24049;Boleto - Gerado (10/13);19/07/2017 20:28;32;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
24050;Boleto - Gerado (10/13);19/07/2017 20:29;50;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
24051;Boleto - Gerado (10/13);19/07/2017 20:31;22;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
24052;Boleto - Gerado (10/13);19/07/2017 20:39;22;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
24054;Boleto - Pago Igual (21);19/07/2017 21:02;32;21/07/2017 00:00;32.00;BOLETO SEM RETORNO;21/07/2017 08:13;0 - Operação finalizada com sucesso
23959;Boleto - Pago Igual (21);19/07/2017 21:08;32;21/07/2017 00:00;32.00;BOLETO SEM RETORNO;21/07/2017 08:13;0 - Operação finalizada com sucesso
23875;Boleto - Gerado (10/13);19/07/2017 21:10;32;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
23995;Boleto - Gerado (10/13);19/07/2017 21:22;32;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
23994;Boleto - Gerado (10/13);19/07/2017 21:24;50;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
24058;Boleto - Pago Igual (21);19/07/2017 21:44;32;21/07/2017 00:00;32.00;BOLETO SEM RETORNO;21/07/2017 08:13;0 - Operação finalizada com sucesso
24060;Boleto - Pago Igual (21);19/07/2017 21:55;38;21/07/2017 00:00;38.00;BOLETO SEM RETORNO;21/07/2017 08:13;0 - Operação finalizada com sucesso
24062;Boleto - Pago Igual (21);19/07/2017 22:19;50;21/07/2017 00:00;50.00;BOLETO SEM RETORNO;21/07/2017 08:13;0 - Operação finalizada com sucesso
24063;Boleto - Gerado (10/13);19/07/2017 22:23;32;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
