Nr. do Pedido;Status;Data do Pedido;Valor do Pedido(R$);Data de Pagto;Valor de Pagto(R$);Meio de Pagto;Atual Registro;Cod. Operacao
24112;Boleto - Pago Igual (21);20/07/2017 16:50;38;21/07/2017 00:00;38.00;BOLETO SEM RETORNO;21/07/2017 08:13;0 - Operação finalizada com sucesso
24113;Boleto - Gerado (10/13);20/07/2017 17:09;32;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
24115;Boleto - Gerado (10/13);20/07/2017 17:23;38;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
24116;Boleto - Gerado (10/13);20/07/2017 17:29;38;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
24117;Boleto - Gerado (10/13);20/07/2017 17:31;30;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
24114;Boleto - Gerado (10/13);20/07/2017 17:34;30;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
24120;Boleto - Gerado (10/13);20/07/2017 17:44;32;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
23771;Boleto - Gerado (10/13);20/07/2017 17:47;38;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
24121;Boleto - Gerado (10/13);20/07/2017 17:48;32;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
23829;Boleto - Gerado (10/13);20/07/2017 17:50;38;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
24118;Boleto - Gerado (10/13);20/07/2017 17:56;38;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
24123;Boleto - Gerado (10/13);20/07/2017 17:57;30;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
24124;Boleto - Gerado (10/13);20/07/2017 18:02;38;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
24122;Boleto - Gerado (10/13);20/07/2017 18:02;32;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
23787;Boleto - Gerado (10/13);20/07/2017 18:44;50;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
23525;Boleto - Gerado (10/13);20/07/2017 19:08;50;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
24119;Boleto - Gerado (10/13);20/07/2017 19:21;50;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
24130;Boleto - Gerado (10/13);20/07/2017 20:22;38;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
24131;Boleto - Gerado (10/13);20/07/2017 20:33;32;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
24132;Boleto - Gerado (10/13);20/07/2017 20:42;38;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
24134;Boleto - Gerado (10/13);20/07/2017 21:10;38;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
24133;Boleto - Gerado (10/13);20/07/2017 21:14;50;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
24136;Boleto - Gerado (10/13);20/07/2017 21:35;22;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
24137;Boleto - Gerado (10/13);20/07/2017 21:50;22;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
24138;Boleto - Gerado (10/13);20/07/2017 22:15;32;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
24101;Boleto - Gerado (10/13);20/07/2017 22:17;50;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
24139;Boleto - Gerado (10/13);20/07/2017 22:50;38;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
24140;Boleto - Gerado (10/13);20/07/2017 22:56;32;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
24141;Boleto - Gerado (10/13);20/07/2017 23:01;50;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
24027;Boleto - Gerado (10/13);20/07/2017 23:39;30;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
24142;Boleto - Gerado (10/13);21/07/2017 00:02;32;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
24143;Boleto - Gerado (10/13);21/07/2017 01:12;50;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
24144;Boleto - Gerado (10/13);21/07/2017 01:22;32;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
24145;Boleto - Gerado (10/13);21/07/2017 05:36;30;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
23749;Boleto - Gerado (10/13);21/07/2017 06:32;32;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
24070;Boleto - Gerado (10/13);21/07/2017 06:52;50;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
24146;Boleto - Gerado (10/13);21/07/2017 07:29;38;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
24148;Boleto - Gerado (10/13);21/07/2017 07:44;50;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
24149;Boleto - Gerado (10/13);21/07/2017 08:05;38;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
24150;Boleto - Gerado (10/13);21/07/2017 08:07;32;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
24151;Boleto - Gerado (10/13);21/07/2017 08:09;50;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
24153;Boleto - Gerado (10/13);21/07/2017 08:33;50;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
24152;Boleto - Gerado (10/13);21/07/2017 08:33;50;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
24154;Boleto - Gerado (10/13);21/07/2017 08:36;38;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
24155;Boleto - Gerado (10/13);21/07/2017 08:43;50;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
24045;Boleto - Gerado (10/13);21/07/2017 09:14;50;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
24012;Boleto - Gerado (10/13);21/07/2017 09:17;30;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
24157;Boleto - Gerado (10/13);21/07/2017 09:17;50;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
23575;Boleto - Gerado (10/13);21/07/2017 09:20;32;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
24156;Boleto - Gerado (10/13);21/07/2017 09:25;50;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
24158;Boleto - Gerado (10/13);21/07/2017 09:34;38;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
24159;Boleto - Gerado (10/13);21/07/2017 09:52;38;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
24161;Boleto - Gerado (10/13);21/07/2017 10:16;32;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
24135;Boleto - Gerado (10/13);21/07/2017 10:27;50;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
24109;Boleto - Gerado (10/13);21/07/2017 10:31;50;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
24162;Boleto - Gerado (10/13);21/07/2017 10:34;50;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
24094;Boleto - Gerado (10/13);21/07/2017 10:53;38;---;---;BOLETO SEM RETORNO;---;0 - Operação finalizada com sucesso
